subject,targeted_region,neuromodulator,X-ml_um,Y-ap_um,Z-dv_um,depth,theta,phi,roll,expression,fiber_diameter_um,fiber_length_mm,numerical_aperture,fiber_tip,surgery_date,notes
ZFM-06272,LC,NE,-1750,-5450,,3550,14.23,0,0,1,200,4,0.57,FLT,2023-05-23,
ZFM-06171,LC,NE,850,-5450,-3600,3600,0,0,0,1,200,4,0.57,FLT,2023-05-24,
ZFM-06275,LC,NE,850,-5450,-3600,3600,0,0,0,1,400,4.5,0.57,FLT,2023-05-24,
ZFM-06275,LC,NE,-1750,-5450,,3550,14.23,0,0,1,400,4.5,0.57,FLT,2023-05-24,
ZFM-06305,NBM,ACh,1750,-700,-4150,4150,0,0,0,1,400,5,0.48,FLT,2023-05-25,
ZFM-06305,SI,ACh,-1220,-200,-4750,4750,0,0,0,1,400,5,0.48,FLT,2023-05-25,
ZFM-06946,NBM,ACh,1760,-730,-4150,4150,0,0,0,1,400,4.5,0.66,FLT,2023-10-02,
ZFM-06948,NBM,ACh,1760,-730,-4150,4150,0,0,0,1,400,4.5,0.66,FLT,2023-10-02,
CQ001,NBM,ACh,-1850,-700,-4100,4100,0,0,0,,400,4.5,0.66,FLT,2024-09-09,
CQ001,SI,ACh,1150,-30,-4750,4750,0,0,0,,400,6,0.48,C60,2024-09-09,Measured ML differs from target by 0.8mm
CQ002,NBM,ACh,-950,-710,-4100,4100,0,0,0,,400,4.5,0.66,FLT,2024-09-10,
CQ002,PPT,ACh,1250,-4620,-2760,2760,0,0,0,,400,4.5,0.66,FLT,2024-09-10,
CQ003,NBM,ACh,1750,-700,-4150,4150,0,0,0,,400,,,FLT,2024-11-04,No measured coordinates given
CQ003,SI,ACh,-1220,-20,-4750,4750,0,0,0,,400,,,FLT,2024-11-04,No measured coordinates given
CQ004,NBM,ACh,1750,-700,-4150,4150,0,0,0,,400,,,FLT,2024-11-06,No measured coordinates given
CQ004,PPT,ACh,-1250,-4720,-2750,2750,0,0,0,,400,,,FLT,2024-11-06,No measured coordinates given
CQ005,NBM,ACh,1750,-700,-4150,4150,0,0,0,,200,,,FLT,2025-01-13,
CQ005,SI,ACh,-1220,-20,-4750,4750,0,0,0,,200,,,FLT,2025-01-13,
CQ006,SI,ACh,1200,-20,-4750,4750,0,0,0,,200,,,FLT,2025-01-14,
CQ006,PPT,ACh,-1250,-4720,-2750,2750,0,0,0,,200,,,FLT,2025-01-14,
CQ008,NBM,ACh,1750,-700,-4150,4150,0,0,0,,200,,,FLT,2025-01-21,No measured coordinates given
CQ008,SI,ACh,-1220,-20,-4750,4750,0,0,0,,200,,,FLT,2025-01-21,No measured coordinates given
CQ009,NBM,ACh,-1750,-700,-4150,4150,0,0,0,,200,,,TP,2025-03-28,No measured coordinates given
CQ009,SI,ACh,1220,-20,-4750,4750,0,0,0,,200,,,TP,2025-03-28,No measured coordinates given
CQ013,NBM,ACh,1750,-700,-4150,4150,0,0,0,,200,,,TP,2025-04-09,Two left-hemisphere implants
CQ013,PPT,ACh,-1250,-4720,-2750,2750,0,0,0,,200,,,TP,2025-04-09,Two left-hemisphere implants
CQ014,NBM,ACh,-1780,-710,-4160,4160,0,0,0,,200,,,TP,2025-07-22,
CQ014,NBM,ACh,2010,-500,-4150,4150,0,0,0,,20,,,TP,2025-07-22,
CQ015,NBM,ACh,-1750,-710,-4150,4150,0,0,0,,200,,,TP,2025-07-23,
CQ015,NBM,ACh,2250,-300,-4150,4150,0,0,0,,200,,,TP,2025-07-23,Surgery notes say left hemisphere but coordinate is negative
CQ016,NBM,ACh,-2250,-300,-4150,4150,0,0,0,,200,,,TP,2025-07-23,
CQ017,NBM,ACh,-1750,-730,-4150,4150,0,0,0,,200,,,TP,2025-07-10,No measured coordinates given
CQ017,NBM,ACh,2000,-500,-4150,4150,0,0,0,,200,,,TP,2025-07-10,No measured coordinates given
ZFM-08488,VTA,DA,-500,-3100,,4485,0,0,0,,400,5,0.37,FLT,2024-12-19,
ZFM-08551,VTA,DA,-500,-3100,,4590,0,0,0,,400,5,0.37,FLT,2024-12-26,
ZFM-08554,VTA,DA,-500,-3100,,4551,0,0,0,,400,5,0.37,FLT,2024-12-26,
ZFM-08652,LC,NE,-850,-5450,,3950,0,0,0,,200,4,0.37,TP,2025-02-21,
ZFM-08689,VTA,DA,-500,-3100,,4640,0,0,0,,200,5,0.37,TP,2025-02-14,
ZFM-08751,NBM,ACh,-1750,-700,,4250,0,0,0,,200,4.5,0.37,TP,2025-03-19,
ZFM-08757,NBM,ACh,-1750,-700,,4250,0,0,0,,200,4.5,0.37,TP,2025-03-21,
ZFM-08776,LC,NE,850,-5450,,3600,0,0,0,,200,4,0.37,TP,2025-04-01,
ZFM-08813,NBM,ACh,-1750,-700,,4150,0,0,0,,200,4.5,0.37,TP,2025-04-25,
ZFM-08814,NBM,ACh,-1750,-700,,4150,0,0,0,,200,4.5,0.37,TP,2025-04-25,
ZFM-08818,VTA,DA,-500,-3100,,4260,0,0,0,,200,4.5,0.37,TP,2025-04-26,
ZFM-08827,VTA,DA,-500,-3100,,4520,0,0,0,,200,4.5,0.37,TP,2025-04-26,
ZFM-08828,VTA,DA,-500,-3100,,4380,0,0,0,,200,4.5,0.37,TP,2025-04-26,
ZFM-08863,LC,NE,850,-5500,,3640,0,0,0,,200,4,0.37,TP,2025-06-06,"Used a biopsy punch instead the drill to make the craniotomy, so when I inserted the fiber it was too close to the bone. so I moved it a bit distally.
Saw signal during the insertion when pinching the tail."
ZFM-08871,LC,NE,850,-5450,,3600,0,0,0,,200,4,0.37,TP,2025-06-06,saw no signal during the insertion when pinching the tail.
ZFM-09044,VTA,DA,500,-3100,,4450,0,0,0,,200,4.5,0.37,TP,2025-07-14,
ZFM-09139,SNc,DA,1500,-2920,,4170,0,0,0,,200,4.5,0.37,TP,2025-07-21,Saw faint signal during the insertion when pinching the tail.
ZFM-09140,SNc,DA,1500,-2920,,4100,0,0,0,,200,4.5,0.37,TP,2025-07-21,Saw faint signal during the insertion when pinching the tail.
ZFM-09341,LC,NE,-850,-5450,,3900,0,0,0,,200,4.5,0.37,TP,2025-09-18,"on Alyx wrote that optical fiber tip was 4.5, must have been a typo "
ZFM-09343,SNc,DA,1500,-2920,,4170,0,0,0,,200,4.5,0.37,TP,2025-09-18,Saw signal during the insertion when pinching the tail.
ZFM-09346,SNc,DA,-1500,-2920,,4018,0,0,0,,200,4.5,0.37,TP,2025-09-22,Saw signal during the insertion when pinching the tail.
ZFM-09350,SNc,DA,-1500,-2920,,4015,0,0,0,,200,4.5,0.37,TP,2025-09-22,Saw signal during the insertion when pinching the tail.
ZFM-09365,DRN,5HT,0,-6600,,3770,32,-90,0,,200,5,0.37,TP,2025-09-25,no siganl
ZFM-09377,DRN,5HT,0,-6600,,3585,32,-90,0,,200,5,0.37,TP,2025-09-25,retracted || animal ended up losing the fiber
ZFM-09394,VTA,DA,-500,-3100,,4210,0,0,0,,200,4.5,0.37,TP,2025-10-23,Saw signal during the insertion when pinching the tail.
ZFM-09402,DRN,5HT,0,-6600,,3770,32,-90,0,,200,5,0.37,TP,2025-10-23,no signal
ZFM-09410,DRN,5HT,0,-6640,,4000,32,-90,0,,200,5,0.37,TP,2025-10-27,Saw signal during the insertion when pinching the tail.
